,open,close,low,high,time,volume
139,1430.4,1428.0,1427.6,1432.0,2024-02-11_18:00:00,1704
140,1426.2,1426.2,1426.2,1426.2,2024-02-12_09:00:00,2405
141,1426.2,1412.6,1407.2,1431.0,2024-02-12_10:00:00,482933
142,1410.2,1405.6,1404.0,1413.8,2024-02-12_14:00:00,101009
143,1412.2,1418.8,1410.2,1418.8,2024-02-12_18:00:00,95712
144,1418.0,1415.2,1414.0,1418.0,2024-02-12_19:00:00,50300
145,1415.4,1414.4,1413.2,1415.8,2024-02-12_20:00:00,19230
146,1414.4,1412.8,1412.6,1415.0,2024-02-12_21:00:00,14092
147,1412.8,1411.8,1410.8,1412.8,2024-02-12_22:00:00,15016
148,1411.8,1408.8,1408.0,1412.6,2024-02-12_23:00:00,22033
149,1411.6,1411.6,1411.6,1411.6,2024-02-13_09:00:00,548
150,1410.8,1410.6,1409.2,1413.2,2024-02-13_12:00:00,96415
151,1410.6,1422.0,1410.2,1423.0,2024-02-13_13:00:00,158949
152,1422.0,1416.0,1415.0,1424.0,2024-02-13_15:00:00,59345
153,1416.2,1411.4,1410.4,1422.0,2024-02-13_16:00:00,133693
154,1411.6,1413.0,1410.2,1418.8,2024-02-13_17:00:00,152781
155,1413.0,1416.0,1410.0,1416.0,2024-02-13_18:00:00,79537
156,1416.0,1420.6,1414.2,1422.0,2024-02-13_19:00:00,50639
157,1421.0,1419.6,1416.8,1421.2,2024-02-13_20:00:00,23604
158,1419.6,1421.0,1419.4,1421.8,2024-02-13_21:00:00,14205
159,1421.2,1420.2,1419.8,1421.4,2024-02-13_22:00:00,16660
160,1420.2,1422.0,1420.0,1423.4,2024-02-13_23:00:00,33452
161,1424.4,1424.4,1424.4,1424.4,2024-02-14_09:00:00,1023
162,1424.0,1423.6,1420.6,1431.8,2024-02-14_10:00:00,136512
